社名,電話番号,所在地,代表者,事業内容,企業URL
株式会社アンジェラックス,03-6427-2877,長野県長野市南千歳１丁目20-2-1アンジェラックスビル４Ｆ,大杉みどり,エステサロン、コスメ事業、スパ事業,https://angelux.co.jp/
株式会社RITORI,03-5784-1341,東京都豊島区東池袋2丁目45-2ステラビル7階,古井咲,エステティックサロンの運営,
韓美グループ株式会社,03-6455-1237,東京都新宿区新宿1-30-62F,金春実,エステサロン事業,http://www.hanmigroup.jp/
株式会社インフィニティ,03-6427-8545,東京都町田市原町田4-1-8太陽ビル１F,橋本優,ヘアサロンの運営,https://www.artina-group.com/
THREEARROWS株式会社,03-6427-9996,東京都三鷹市下連雀4-14-20PLENDY三鷹1階,今井基成,白髪染め及びヘアカラー専門サロンの運営,https://ccage.tokyo/about-age/shibuya-meijidori/
アキュラ鍼灸院,03-5469-0810,東京都渋谷区渋谷1-4-7パークアクシス渋谷702,徐大兼,鍼灸,https://www.acuraclinic.com/
青山渋谷メディカルクリニック,03-5464-5467,東京都渋谷区渋谷1-19-8岡田ビル2階,片山信吾,医科,https://aoyama-shibuya-mc.jp/
株式会社コノフィー,,東京都新宿区西新宿８丁目１−１６アドバンスビル2階,北島寿将,セールスプロモーションに特化した人材サービス,http://www.conophy.co.jp/
株式会社TSI,,東京都港区赤坂8-5-27住友不動産青山ビル,下地毅,傘下子会社及びグループ会社の事業活動の管理ならびにそれに付帯する業務,https://www.tsi-holdings.com/index.html
東和フードサービス株式会社,03-3477-1383,東京都港区新橋3-20-1TOWAJ’Sビル6階,岸野誠人,フード(外食)事業／喫茶・カフェ、レストランの店舗運営,https://www.towafood-net.co.jp/
株式会社エンディミオン,03-6912-5543,東京都新宿区東池袋1-30-14ライオンズマンション東池袋602,,ブラジリアンワックス脱毛サロンの運営,https://queenswax.com/
株式会社M,03-5904-8823,東京都港区麻布十番四丁目6番8号麻布十番アクティブビル7階,小西麻里奈,総合美容サロン「M」の経営、化粧品の仕入・販売、美容機器の仕入・販売,https://mbeautysalon.jp/
Aroma&RelaxationPolish池袋店,03-6907-1138,東京都豊島区東池袋4-8-8ロイヤルガーデンⅡ5F,,エステサロン事業,
株式会社EQUALITY,,,松本貫太郎,美容事業,https://hrbayshoreny.equalityjp.com/
株式会社mirrorball,03-6914-0501,東京都中央区銀座2丁目6番16号,中野剛志,ヘア・アイラッシュ・ネイルサロンの経営、シェアサロンの経営、フランチャイズ事業,https://mirrorball.press/
池袋こころのクリニック,03-5985-7781,東京都豊島区南池袋2-27-2マルグリットビル4F,横山雄二,医科,https://www.ikebukuro-kokoro.com/
陽だまりクリニック,03-6914-2783,東京都豊島区南池袋2-23-4富沢ビル502,遠藤佐保子,医科,https://hidamari-cl512.com/
株式会社サンアップ,,大阪府大阪市北区西天満3丁目6-28オクタス西天満ビル6F,近藤一智,イベント・展示会の設営、撤去などの業務請負,https://www.sunup.co.jp/
株式会社アーバンリサーチ,03-3987-8958,大阪府大阪市西区京町堀1丁目6-4アーバンリサーチビル10F,竹村幸造,メンズ・レディースウェアなどの企画・販売・製造及び付随業務,https://www.urban-research.co.jp/
Ｃafemaruni,03-6912-7733,東京都豊島区東池袋3-10-1第二竹下ビル1階,,飲食業,
株式会社KEYS,0422-88-2205,東京都武蔵野市吉祥寺本町2-18-15武蔵野カントリーハイツ306,伊波亜紀子,エステサロンの運営,https://inamisalon.com/
株式会社美伸,0422-76-2020,東京都港区六本木1丁目9番10号アークヒルズ仙石山森タワー26F,小谷誠七郎,メディカルエステティック事業、コンサルティング事業、商品開発事業,https://www.kbeautylabo.com/
株式会社Atsemble,050-3749-4091,東京都武蔵野市吉祥寺南町2-4-7吉祥寺ソシアルビル302,栗原侑樹,エステティックサロン、リラクゼーションサロン等の経営,https://atsemble.com/
株式会社Oneworld,0422-20-1218,東京都杉並区阿佐ヶ谷南3-31-11阿佐ヶ谷南第六ビル202,柴田裕輔,美容業,https://snowdrop-hair.com/
吉祥寺まいにちクリニック,,東京都武蔵野市吉祥寺本町1-9-10レインボービル2階,柳澤薫,医科,https://kichijojiclinic.com/
吉祥寺みどり内科・消化器クリニック武蔵野院,0422-29-3876,東京都武蔵野市吉祥寺本町1-11-19,佐々木洋,医科,https://sasaki-iin.jp/
株式会社ライブパワー,,東京都目黒区下目黒2-19-3IMAS目黒ビル3F,小崎滋之,コンサート、イベントにおける会場案内、警備、運営業務,https://www.livepower.co.jp/
